RA,Ano,Pedra,Defasagem,INDE,IAN,IDA,IEG,IAA,IPS,IPV,Target_Risco,IPP
RA-866,2023,,0,,10.0,8.6,8.3,0.0,8.76,8.415,0,7.5
RA-867,2023,,0,,10.0,8.9,8.6,9.0,8.76,8.415,0,7.5
RA-868,2023,,0,,10.0,7.1,9.5,10.0,8.76,8.67,0,7.1875
RA-869,2023,,0,,10.0,9.6,10.0,9.0,8.76,8.75,0,8.125
RA-870,2023,,-1,,5.0,1.5,8.5,0.0,8.76,5.165,1,5.0
RA-871,2023,,-1,,5.0,6.9,9.5,9.0,3.76,6.84,1,4.375
RA-872,2023,,-2,,5.0,4.3,6.7,0.0,2.52,8.5,1,6.25
RA-873,2023,,-2,,5.0,7.0,9.7,8.5,7.52,8.67,1,6.25
RA-874,2023,,-1,,5.0,4.8,8.2,0.0,7.52,6.67,1,6.25
RA-875,2023,,-1,,5.0,7.3,9.5,9.5,7.52,9.845,1,7.5
RA-876,2023,,0,,10.0,7.5,9.4,10.0,7.52,8.835,0,7.5
RA-877,2023,,-1,,5.0,6.9,9.5,9.5,7.52,7.5,1,5.0
RA-878,2023,,-2,,5.0,8.1,9.5,0.0,2.52,7.34,1,5.0
RA-879,2023,,-1,,5.0,8.2,9.8,0.0,2.52,8.915,1,6.875
RA-880,2023,,0,,10.0,6.3,9.4,0.0,2.52,8.585,0,6.25
RA-881,2023,,0,,10.0,7.3,8.9,10.0,7.52,6.25,0,5.0
RA-882,2023,,0,,10.0,4.7,8.6,9.0,2.52,4.16,0,3.75
RA-883,2023,,0,,10.0,8.4,9.7,9.5,6.89,8.17,0,6.25
RA-884,2023,,0,,10.0,8.8,9.7,9.0,4.39,8.66,0,6.875
RA-885,2023,,0,,10.0,8.7,9.8,9.0,7.52,8.665,0,7.5
RA-886,2023,,0,,10.0,8.1,9.4,8.5,7.52,9.0,0,7.5
RA-887,2023,,0,,10.0,8.4,8.9,8.9,7.52,9.09,0,7.5
RA-888,2023,,0,,10.0,8.8,10.0,9.0,7.52,8.83,0,7.5
RA-889,2023,,0,,10.0,9.1,9.5,8.5,6.89,9.0,0,7.5
RA-890,2023,,0,,10.0,8.3,9.1,0.0,2.52,8.16,0,6.25
RA-891,2023,,-1,,5.0,7.5,9.5,9.5,6.89,7.995,1,7.5
RA-684,2023,,0,,10.0,6.5,8.1,9.0,7.52,5.84,0,6.875
RA-892,2023,,0,,10.0,8.3,9.6,8.0,6.89,10.01,0,7.5
RA-857,2023,,-1,,5.0,8.5,9.0,8.5,7.52,9.01,1,7.5
RA-893,2023,,-1,,5.0,9.3,10.0,9.5,7.52,10.01,1,7.5
RA-894,2023,,-1,,5.0,9.4,9.9,9.5,7.52,10.01,1,7.5
RA-690,2023,,-2,,5.0,9.1,9.8,9.0,6.89,10.01,1,7.5
RA-895,2023,,0,,10.0,6.8,9.5,9.5,7.52,9.5,0,6.875
RA-896,2023,,0,,10.0,8.5,10.0,9.5,6.89,10.01,0,7.5
RA-693,2023,,0,,10.0,8.5,9.4,10.0,6.89,10.01,0,7.5
RA-675,2023,,0,,10.0,8.3,8.0,10.0,7.52,8.34,0,6.875
RA-850,2023,,-1,,5.0,7.3,7.9,0.0,6.26,6.265,1,6.5625
RA-897,2023,,-1,,5.0,6.5,8.1,0.0,7.52,3.32,1,6.5625
RA-842,2023,,-1,,5.0,7.9,8.5,9.0,3.77,8.01,1,5.625
RA-898,2023,,-1,,5.0,9.4,9.8,9.0,3.77,10.01,1,8.125
RA-899,2023,,0,,10.0,9.5,9.8,10.0,3.77,9.34,0,7.5
RA-900,2023,,0,,10.0,7.8,9.8,9.0,9.38,8.67,0,8.125
RA-846,2023,,0,,10.0,6.0,8.2,9.5,3.77,8.67,0,5.625
RA-901,2023,,-2,,5.0,7.5,8.7,8.5,3.77,8.595,1,6.25
RA-743,2023,,-2,,5.0,7.1,9.1,0.0,3.77,9.01,1,7.5
RA-681,2023,,-2,,5.0,8.3,7.8,0.0,3.77,8.18,1,5.625
RA-902,2023,,-3,,2.5,3.9,9.3,10.0,2.52,6.5,1,5.3125
RA-903,2023,,0,,10.0,7.8,9.6,10.0,5.02,9.01,0,7.5
RA-851,2023,,-1,,5.0,6.6,7.5,8.4,2.52,6.01,1,5.625
RA-847,2023,,-2,,5.0,7.6,9.1,7.9,2.52,5.84,1,5.0
RA-904,2023,,0,,10.0,6.4,9.3,9.0,7.52,7.836666667,0,7.8125
RA-858,2023,,0,,10.0,9.3,8.1,0.0,3.77,7.946666667,0,8.125
RA-905,2023,,-1,,5.0,8.3,9.4,9.5,7.52,7.056666667,1,6.875
RA-702,2023,,-1,,5.0,9.3,10.0,10.0,5.63,7.833333333,1,7.5
RA-725,2023,,-1,,5.0,8.4,9.0,9.5,7.52,8.113333333,1,8.125
RA-906,2023,,0,,10.0,8.6,9.2,7.5,7.52,6.95,0,7.5
RA-907,2023,,0,,10.0,9.3,9.6,9.5,7.52,8.336666667,0,8.125
RA-908,2023,,0,,10.0,7.9,9.0,9.0,7.52,8.223333333,0,8.125
RA-909,2023,,-2,,5.0,9.2,9.9,10.0,7.52,8.056666667,1,8.125
RA-708,2023,,-1,,5.0,9.2,9.8,0.0,7.52,8.28,1,8.125
RA-910,2023,,0,,10.0,8.9,8.8,0.0,7.52,8.17,0,8.75
RA-671,2023,,-2,,5.0,7.8,8.3,7.9,3.14,5.68,1,5.625
RA-836,2023,,-2,,5.0,6.7,9.6,9.5,6.27,8.085,1,6.875
RA-911,2023,,-2,,5.0,3.4,6.7,9.0,2.52,7.01,1,5.3125
RA-860,2023,,0,,10.0,7.4,9.8,7.0,6.89,8.34,0,7.5
RA-727,2023,,-1,,5.0,8.0,8.8,9.5,2.52,9.34,1,7.5
RA-739,2023,,-1,,5.0,7.6,8.3,9.0,7.52,8.25,1,6.25
RA-740,2023,,-2,,5.0,9.1,8.7,0.0,7.52,8.925,1,6.875
RA-912,2023,,-1,,5.0,6.3,9.4,7.0,7.52,7.175,1,5.625
RA-706,2023,,-2,,5.0,7.3,7.8,9.0,4.39,8.08,1,6.875
RA-840,2023,,-1,,5.0,8.2,9.0,9.5,4.38,8.59,1,7.5
RA-841,2023,,-2,,5.0,6.9,7.2,0.0,7.52,9.84,1,7.5
RA-709,2023,,-2,,5.0,4.9,7.9,10.0,7.52,6.59,1,5.625
RA-913,2023,,-2,,5.0,7.9,8.5,8.0,6.89,9.245,1,6.25
RA-726,2023,,0,,10.0,6.0,6.1,10.0,7.52,8.17,0,5.625
RA-914,2023,,0,,10.0,8.7,9.2,10.0,7.52,8.67,0,6.25
RA-915,2023,,0,,10.0,8.4,8.4,10.0,7.52,8.67,0,7.5
RA-916,2023,,-1,,5.0,6.6,9.7,9.5,2.52,9.005,1,6.25
RA-917,2023,,0,,10.0,7.0,7.2,0.0,2.52,6.35,0,6.25
RA-918,2023,,0,,10.0,7.7,8.7,10.0,2.52,7.01,0,5.625
RA-919,2023,,-1,,5.0,5.3,8.4,0.0,7.52,8.09,1,6.25
RA-920,2023,,0,,10.0,6.1,6.3,9.0,7.52,6.35,0,5.625
RA-921,2023,,0,,10.0,6.3,9.7,9.0,7.52,6.68,0,5.625
RA-922,2023,,0,,10.0,8.4,9.7,8.5,3.14,10.01,0,7.5
RA-715,2023,,-2,,5.0,5.4,9.5,0.0,3.14,7.675,1,5.625
RA-822,2023,,-2,,5.0,7.1,8.4,8.5,2.52,5.925,1,5.625
RA-923,2023,,0,,10.0,7.3,9.9,9.5,7.52,10.01,0,7.5
RA-742,2023,,-2,,5.0,7.5,7.6,0.0,7.52,10.01,1,7.5
RA-924,2023,,0,,10.0,5.0,5.6,9.0,7.52,5.93,0,5.625
RA-925,2023,,0,,10.0,5.4,8.9,9.0,7.52,5.595,0,5.625
RA-853,2023,,-1,,5.0,7.4,9.5,10.0,3.77,9.84,1,6.25
RA-854,2023,,0,,10.0,6.0,9.5,0.0,3.77,8.01,0,5.625
RA-700,2023,,-1,,5.0,7.8,9.7,9.5,7.52,9.84,1,6.25
RA-701,2023,,-2,,5.0,7.2,9.9,9.5,3.77,7.68,1,6.25
RA-856,2023,,0,,10.0,7.3,9.6,0.0,7.52,8.255,0,5.625
RA-672,2023,,-2,,5.0,6.4,9.5,7.9,2.52,6.43,1,5.625
RA-859,2023,,0,,10.0,7.3,9.2,8.0,7.52,10.01,0,7.5
RA-704,2023,,-2,,5.0,6.1,9.9,10.0,3.14,6.265,1,5.625
RA-741,2023,,-2,,5.0,5.1,6.9,9.5,4.39,7.095,1,5.625
RA-719,2023,,-2,,5.0,5.9,5.3,9.5,7.52,7.095,1,5.625
RA-926,2023,,-1,,5.0,6.8,10.0,9.0,3.77,9.51,1,7.5
RA-927,2023,,-1,,5.0,6.4,9.7,9.0,3.77,9.255,1,7.5
RA-928,2023,,0,,10.0,9.8,10.0,8.5,7.52,9.67,0,8.75
RA-929,2023,,0,,10.0,8.8,9.8,8.5,7.52,9.67,0,8.75
RA-930,2023,,0,,10.0,9.0,8.8,9.0,7.52,9.0,0,8.75
RA-931,2023,,0,,10.0,7.8,8.2,8.5,2.52,7.6,0,5.625
RA-932,2023,,0,,10.0,7.5,7.9,9.5,7.52,9.0,0,8.125
RA-933,2023,,0,,10.0,7.7,8.4,9.0,7.52,9.67,0,8.75
RA-934,2023,,0,,10.0,8.7,9.6,9.0,7.52,9.67,0,9.375
RA-935,2023,,-1,,5.0,9.4,9.8,0.0,7.52,9.67,1,9.375
RA-936,2023,,0,,10.0,6.5,10.0,9.0,7.52,8.915,0,8.125
RA-937,2023,,0,,10.0,9.2,9.6,9.5,7.52,9.67,0,9.375
RA-756,2023,,-2,,5.0,6.1,8.7,10.0,7.52,6.59,1,5.625
RA-938,2023,,-1,,5.0,4.2,8.4,8.5,7.52,7.5,1,6.25
RA-939,2023,,-2,,5.0,5.4,10.0,9.0,7.52,10.01,1,7.5
RA-789,2023,,0,,10.0,7.9,9.5,0.0,7.52,10.01,0,7.5
RA-792,2023,,-2,,5.0,7.2,7.7,9.0,7.52,9.085,1,6.875
RA-940,2023,,-2,,5.0,6.3,8.4,9.0,2.52,7.02,1,6.25
RA-941,2023,,0,,10.0,5.0,10.0,8.0,7.52,8.175,0,5.0
RA-942,2023,,-2,,5.0,7.1,8.9,9.5,2.52,7.0,1,5.625
RA-943,2023,,0,,10.0,8.0,9.4,9.5,7.52,9.925,0,7.5
RA-782,2023,,-1,,5.0,7.5,9.8,8.5,2.52,9.345,1,7.5
RA-768,2023,,-2,,5.0,7.9,9.1,10.0,7.52,10.01,1,7.5
RA-794,2023,,-1,,5.0,6.2,9.2,9.0,7.52,10.01,1,7.5
RA-795,2023,,-1,,5.0,8.2,9.6,9.0,7.52,10.01,1,7.5
RA-944,2023,,-1,,5.0,7.5,7.6,9.0,7.52,6.67,1,5.625
RA-945,2023,,0,,10.0,7.9,9.2,8.5,7.52,6.84,0,6.875
RA-946,2023,,0,,10.0,9.3,9.4,9.5,7.52,7.0,0,7.5
RA-754,2023,,-2,,5.0,5.6,6.1,9.5,2.52,6.67,1,6.875
RA-947,2023,,0,,10.0,3.3,7.9,9.0,7.52,5.08,0,4.375
RA-948,2023,,0,,10.0,0.0,7.6,9.0,7.52,8.34,0,6.875
RA-949,2023,,0,,10.0,8.9,8.1,9.5,7.52,6.5,0,6.25
RA-950,2023,,0,,10.0,9.3,10.0,9.0,7.52,8.17,0,7.5
RA-773,2023,,-1,,5.0,7.9,7.5,10.0,2.52,7.67,1,5.625
RA-951,2023,,0,,10.0,8.4,9.7,9.5,7.52,9.09,0,7.5
RA-769,2023,,-2,,5.0,8.0,9.3,10.0,3.77,8.675,1,7.8125
RA-952,2023,,0,,10.0,9.0,9.2,9.5,3.77,8.425,0,7.1875
RA-826,2023,,-1,,5.0,7.3,10.0,10.0,3.77,8.34,1,7.8125
RA-953,2023,,0,,10.0,8.3,8.8,7.4,3.14,7.09,0,6.5625
RA-954,2023,,0,,10.0,7.7,8.3,0.0,3.14,8.005,0,7.1875
RA-780,2023,,-2,,5.0,8.3,8.8,9.5,3.14,8.675,1,8.75
RA-955,2023,,-2,,5.0,7.8,8.8,9.0,3.14,7.09,1,6.875
RA-831,2023,,-1,,5.0,8.3,9.4,8.0,3.77,8.59,1,7.8125
RA-783,2023,,-1,,5.0,8.9,6.8,9.5,3.77,7.925,1,7.5
RA-774,2023,,-1,,5.0,6.9,9.5,0.0,3.14,6.34,1,5.0
RA-748,2023,,-2,,5.0,9.1,9.7,9.5,7.52,10.01,1,7.5
RA-749,2023,,-1,,5.0,7.3,9.0,10.0,7.52,8.425,1,5.625
RA-956,2023,,-2,,5.0,7.8,7.5,8.0,7.52,9.345,1,7.5
RA-787,2023,,-1,,5.0,5.9,9.8,9.0,7.52,8.34,1,5.625
RA-957,2023,,0,,10.0,9.1,9.3,10.0,7.52,9.925,0,7.5
RA-753,2023,,-1,,5.0,9.0,9.9,9.0,7.52,9.925,1,7.5
RA-958,2023,,0,,10.0,9.3,9.8,10.0,7.52,9.84,0,7.5
RA-755,2023,,-1,,5.0,9.2,9.5,10.0,7.52,10.01,1,7.5
RA-763,2023,,-2,,5.0,7.9,9.2,0.0,3.14,9.0,1,6.875
RA-757,2023,,-2,,5.0,9.3,9.6,9.0,7.52,10.01,1,7.5
RA-959,2023,,0,,10.0,7.7,9.6,10.0,7.52,8.84,0,6.875
RA-960,2023,,-2,,5.0,6.3,10.0,8.5,7.52,5.85,1,5.625
RA-961,2023,,-1,,5.0,6.2,8.7,0.0,2.52,8.665,1,5.3125
RA-962,2023,,-1,,5.0,8.7,9.2,9.0,7.52,10.01,1,7.5
RA-805,2023,,-1,,5.0,6.8,9.1,0.0,7.52,7.175,1,6.25
RA-806,2023,,-1,,5.0,7.8,8.3,8.5,6.27,7.095,1,6.875
RA-807,2023,,-1,,5.0,8.0,9.1,9.5,7.52,8.08,1,6.25
RA-963,2023,,-1,,5.0,8.5,9.8,9.5,7.52,10.01,1,7.5
RA-964,2023,,-1,,5.0,7.2,9.4,8.5,7.52,8.5,1,6.875
RA-965,2023,,-1,,5.0,4.7,8.2,8.5,6.27,7.18,1,5.0
RA-966,2023,,-1,,5.0,5.0,10.0,10.0,7.52,7.675,1,6.5625
RA-967,2023,,-2,,5.0,6.5,8.0,9.5,7.52,7.35,1,5.625
RA-968,2023,,-1,,5.0,8.3,9.7,9.0,7.52,10.01,1,7.5
RA-812,2023,,0,,10.0,5.8,9.1,9.5,7.52,8.33,0,6.875
RA-969,2023,,0,,10.0,5.5,9.7,8.5,7.52,7.51,0,6.25
RA-970,2023,,0,,10.0,9.4,8.1,8.5,7.52,9.84,0,9.375
RA-971,2023,,0,,10.0,6.9,6.4,7.8,3.77,8.17,0,5.625
RA-972,2023,,0,,10.0,6.0,9.1,9.0,3.77,7.84,0,6.875
RA-973,2023,,-1,,5.0,5.2,8.6,0.0,3.77,7.415,1,7.1875
RA-974,2023,,0,,10.0,8.8,9.1,9.0,3.77,9.34,0,7.5
RA-975,2023,,0,,10.0,6.5,9.2,7.9,7.52,7.67,0,5.625
RA-976,2023,,0,,10.0,8.6,9.2,9.5,6.27,8.34,0,5.9375
RA-977,2023,,0,,10.0,5.8,7.4,8.5,5.02,8.085,0,5.625
RA-978,2023,,0,,10.0,8.6,9.8,9.0,3.77,9.34,0,5.625
RA-979,2023,,0,,10.0,6.0,9.6,9.5,6.27,9.51,0,5.625
RA-980,2023,,0,,10.0,6.3,9.8,0.0,5.02,9.34,0,5.625
RA-808,2023,,-1,,5.0,8.7,10.0,10.0,2.52,9.755,1,7.5
RA-981,2023,,0,,10.0,5.8,9.1,9.5,2.52,9.01,0,5.625
RA-982,2023,,0,,10.0,8.6,9.1,0.0,2.52,8.835,0,5.625
RA-983,2023,,0,,10.0,8.8,9.9,8.5,2.52,9.415,0,6.25
RA-984,2023,,0,,10.0,8.3,9.8,8.0,7.52,9.84,0,6.875
RA-985,2023,,0,,10.0,6.8,9.3,9.0,2.52,8.5,0,5.625
RA-986,2023,,0,,10.0,8.3,9.1,9.5,2.52,8.83,0,5.625
RA-987,2023,,0,,10.0,7.3,9.8,0.0,6.27,9.76,0,6.875
RA-988,2023,,-1,,5.0,8.5,8.1,7.9,7.52,9.84,1,6.25
RA-989,2023,,-1,,5.0,8.3,8.1,9.5,2.52,10.01,1,7.5
RA-677,2023,,-1,,5.0,8.7,8.2,10.0,10.0,9.84,1,6.875
RA-990,2023,,-1,,5.0,7.8,8.5,0.0,7.52,10.01,1,7.5
RA-991,2023,,-1,,5.0,7.7,9.1,10.0,3.14,9.585,1,6.875
RA-992,2023,,-2,,5.0,8.0,8.2,9.5,3.14,8.84,1,5.0
RA-703,2023,,-2,,5.0,4.6,8.4,9.5,3.14,6.16,1,6.875
RA-993,2023,,0,,10.0,8.6,9.8,9.5,3.77,10.01,0,7.5
RA-674,2023,,-1,,5.0,5.2,8.5,7.9,3.77,8.67,1,5.0
RA-994,2023,,0,,10.0,6.0,9.4,9.5,3.77,7.265,0,5.625
RA-995,2023,,-2,,5.0,5.1,7.9,9.5,3.77,7.18,1,6.25
RA-996,2023,,-1,,5.0,8.6,9.2,10.0,3.77,10.01,1,7.5
RA-997,2023,,0,,10.0,7.1,8.7,7.5,3.77,8.595,0,5.625
RA-998,2023,,-2,,5.0,7.9,9.3,9.5,3.77,9.84,1,7.5
RA-999,2023,,-1,,5.0,8.3,9.4,9.0,3.77,9.84,1,7.5
RA-750,2023,,-2,,5.0,3.4,7.7,9.5,3.14,6.32,1,4.375
RA-770,2023,,0,,10.0,5.9,8.3,0.0,3.77,8.92,0,6.875
RA-771,2023,,0,,10.0,8.2,8.8,0.0,3.14,8.585,0,6.25
RA-1000,2023,,0,,10.0,7.0,9.4,8.5,3.77,8.92,0,6.25
RA-830,2023,,-1,,5.0,8.3,8.9,0.0,3.14,9.505,1,6.25
RA-1001,2023,,-1,,5.0,7.8,9.1,9.0,7.52,9.17,1,7.5
RA-1002,2023,,-1,,5.0,7.0,9.7,9.0,7.52,8.92,1,6.25
RA-1003,2023,,0,,10.0,4.0,8.5,9.0,7.52,8.75,0,7.5
RA-835,2023,,0,,10.0,8.7,8.5,8.0,7.52,7.835,0,6.875
RA-1004,2023,,0,,10.0,7.9,9.6,9.0,7.52,7.42,0,6.875
RA-1005,2023,,0,,10.0,8.8,7.9,9.5,7.52,8.165,0,7.5
RA-1006,2023,,0,,10.0,8.7,9.3,9.0,7.52,8.0,0,7.5
RA-705,2023,,-2,,5.0,8.8,8.3,0.0,6.89,8.165,1,7.5
RA-1007,2023,,0,,10.0,8.3,7.4,9.0,7.52,7.68,0,7.5
RA-1008,2023,,0,,10.0,8.4,8.6,9.0,7.52,7.5,0,5.9375
RA-729,2023,,-1,,5.0,8.6,9.1,8.0,3.77,7.01,1,6.5625
RA-1009,2023,,0,,10.0,8.8,9.0,0.0,3.77,7.84,0,7.5
RA-1010,2023,,0,,10.0,9.4,10.0,9.5,3.77,8.59,0,7.8125
RA-1011,2023,,0,,10.0,5.2,8.6,9.5,3.77,7.675,0,7.1875
RA-1012,2023,,0,,10.0,6.6,9.9,10.0,3.77,7.845,0,7.1875
RA-1013,2023,,0,,10.0,8.3,9.6,9.0,4.39,5.76,0,5.625
RA-1014,2023,,0,,10.0,8.2,9.7,9.0,3.77,8.255,0,7.5
RA-1015,2023,,-1,,5.0,6.3,9.3,10.0,6.27,7.786666667,1,7.34375
RA-734,2023,,-1,,5.0,6.9,8.0,8.5,7.52,7.446666667,1,7.34375
RA-687,2023,,-1,,5.0,6.9,9.0,8.0,7.52,8.226666667,1,7.5
RA-1016,2023,,-1,,5.0,6.7,9.5,10.0,7.52,7.73,1,7.34375
RA-1017,2023,,-1,,5.0,7.7,8.0,0.0,5.02,8.116666667,1,7.5
RA-688,2023,,-1,,5.0,8.6,9.3,8.5,7.52,8.06,1,7.5
RA-1018,2023,,0,,10.0,6.3,8.5,0.0,5.02,8.06,0,7.5
RA-696,2023,,0,,10.0,6.7,9.4,0.0,5.02,8.503333333,0,7.5
RA-1019,2023,,1,,10.0,4.3,9.1,7.5,5.02,7.836666667,0,6.875
RA-514,2023,,-1,,5.0,5.5,7.5,7.9,2.52,5.896666667,1,5.0
RA-1020,2023,,0,,10.0,6.1,9.1,10.0,2.52,8.056666667,0,7.1875
RA-1021,2023,,0,,10.0,3.3,9.2,8.0,3.77,7.893333333,0,7.1875
RA-1022,2023,,0,,10.0,4.7,8.5,8.5,3.77,7.893333333,0,7.1875
RA-1023,2023,,0,,10.0,9.1,10.0,10.0,6.27,9.06,0,8.75
RA-699,2023,,-1,,5.0,6.0,8.3,8.5,3.77,6.173333333,1,5.78125
RA-480,2023,,-1,,5.0,7.9,9.7,10.0,7.52,8.336666667,1,7.96875
RA-678,2023,,-1,,5.0,7.3,8.8,8.0,6.27,8.336666667,1,7.65625
RA-1024,2023,,-1,,5.0,9.8,10.0,0.0,6.27,8.95,1,9.21875
RA-502,2023,,0,,10.0,8.0,9.8,8.5,7.52,8.95,0,7.96875
RA-1025,2023,,0,,10.0,7.5,8.9,8.5,7.52,7.836666667,0,7.65625
RA-680,2023,,-1,,5.0,6.4,9.1,0.0,7.52,7.78,1,6.875
RA-1026,2023,,-3,,2.5,3.2,9.8,8.5,7.52,7.06,1,6.40625
RA-698,2023,,0,,10.0,5.7,9.9,8.5,2.52,8.113333333,0,7.1875
RA-533,2023,,-1,,5.0,5.8,9.3,9.0,7.52,7.613333333,1,7.5
RA-504,2023,,0,,10.0,7.9,8.3,8.0,7.52,8.836666667,0,7.5
RA-1027,2023,,-1,,5.0,6.0,9.7,9.5,7.52,8.333333333,1,7.5
RA-529,2023,,-2,,5.0,6.8,9.6,8.0,7.52,6.893333333,1,5.78125
RA-1028,2023,,-1,,5.0,5.0,9.2,0.0,7.52,7.946666667,1,7.34375
RA-686,2023,,-1,,5.0,8.0,9.0,8.5,7.52,8.56,1,7.5
RA-1029,2023,,0,,10.0,5.4,6.3,10.0,3.77,8.006666667,0,7.5
RA-1030,2023,,-1,,5.0,6.9,9.7,8.5,3.77,8.39,1,6.875
RA-522,2023,,-1,,5.0,8.3,9.2,7.5,7.52,8.45,1,7.083333333
RA-501,2023,,-1,,5.0,8.9,8.4,7.0,7.52,9.396666667,1,8.541666667
RA-692,2023,,-1,,5.0,4.6,7.7,7.4,7.52,7.39,1,6.666666667
RA-527,2023,,-1,,5.0,6.5,9.1,9.0,7.52,7.78,1,7.5
RA-1031,2023,,-1,,5.0,5.9,8.8,8.0,7.52,7.006666667,1,6.666666667
RA-1032,2023,,-1,,5.0,6.0,9.5,8.5,7.52,7.563333333,1,7.291666667
RA-1033,2023,,-1,,5.0,7.9,8.9,9.0,7.52,9.006666667,1,8.125
RA-1034,2023,,-1,,5.0,8.3,9.0,7.5,7.52,8.393333333,1,8.333333333
RA-1035,2023,,0,,10.0,5.8,8.3,0.0,7.52,7.78,0,7.708333333
RA-730,2023,,-1,,5.0,7.8,8.7,10.0,5.02,8.67,1,9.53125
RA-855,2023,,0,,10.0,6.8,10.0,9.5,7.52,8.67,0,8.4375
RA-820,2023,,-1,,5.0,8.9,7.4,7.9,7.52,8.28,1,9.0625
RA-738,2023,,0,,10.0,6.0,9.3,8.0,7.52,8.336666667,0,8.4375
RA-1036,2023,,-1,,5.0,8.0,9.6,0.0,3.77,8.336666667,1,9.0625
RA-1037,2023,,-1,,5.0,6.7,8.4,9.0,7.52,8.17,1,8.59375
RA-576,2023,,-1,,5.0,8.0,9.3,9.0,5.02,8.503333333,1,9.21875
RA-1038,2023,,-1,,5.0,6.5,9.3,8.0,7.52,8.17,1,8.90625
RA-1039,2023,,-2,,5.0,6.2,9.9,8.0,7.52,8.056666667,1,8.125
RA-1040,2023,,-1,,5.0,6.6,9.3,10.0,7.52,8.06,1,7.8125
RA-1041,2023,,-1,,5.0,3.3,7.2,10.0,7.52,8.003333333,1,7.8125
RA-733,2023,,0,,10.0,6.2,8.7,10.0,7.52,8.893333333,0,8.333333333
RA-837,2023,,0,,10.0,7.0,9.3,9.0,7.52,7.836666667,0,7.916666667
RA-519,2023,,-1,,5.0,7.4,9.9,9.0,7.52,8.223333333,1,7.708333333
RA-521,2023,,-1,,5.0,7.9,9.9,0.0,3.77,8.166666667,1,7.083333333
RA-1042,2023,,-1,,5.0,4.3,6.5,0.0,3.77,7.666666667,1,7.708333333
RA-713,2023,,-1,,5.0,7.5,9.6,8.0,3.77,8.166666667,1,6.875
RA-736,2023,,-1,,5.0,6.7,9.5,8.5,6.27,8.11,1,7.708333333
RA-1043,2023,,-1,,5.0,2.5,7.9,10.0,6.27,7.833333333,1,7.708333333
RA-716,2023,,-1,,5.0,5.6,8.7,9.0,3.77,7.443333333,1,6.875
RA-1044,2023,,-1,,5.0,6.1,9.7,8.0,7.52,8.336666667,1,7.5
RA-745,2023,,-1,,5.0,7.0,9.3,9.5,3.77,8.893333333,1,8.125
RA-717,2023,,-1,,5.0,5.9,8.5,0.0,7.52,8.446666667,1,8.125
RA-718,2023,,0,,10.0,7.8,9.1,9.5,3.77,8.39,0,7.916666667
RA-721,2023,,0,,10.0,8.4,9.5,8.5,7.52,8.443333333,0,8.125
RA-746,2023,,0,,10.0,7.2,8.0,0.0,3.77,7.113333333,0,6.875
RA-1045,2023,,-1,,5.0,7.9,9.4,9.5,7.52,8.28,1,7.708333333
RA-483,2023,,-2,,5.0,5.6,6.0,9.0,2.52,8.166666667,1,7.916666667
RA-1046,2023,,0,,10.0,6.3,8.5,0.0,3.77,8.223333333,0,8.541666667
RA-1047,2023,,0,,10.0,6.9,8.5,10.0,3.77,7.893333333,0,8.125
RA-570,2023,,-1,,5.0,5.9,7.3,8.5,3.77,8.056666667,1,8.125
RA-1048,2023,,-1,,5.0,8.2,9.5,8.5,3.77,8.5,1,8.541666667
RA-1049,2023,,-1,,5.0,6.3,7.7,10.0,7.52,7.943333333,1,8.125
RA-1050,2023,,-1,,5.0,7.2,9.2,9.0,6.27,8.223333333,1,8.125
RA-1051,2023,,0,,10.0,8.4,8.9,8.5,6.27,8.613333333,0,8.75
RA-707,2023,,-1,,5.0,6.5,9.8,0.0,3.77,7.946666667,1,7.916666667
RA-1052,2023,,0,,10.0,5.3,9.0,0.0,7.52,7.833333333,0,7.916666667
RA-580,2023,,-1,,5.0,9.0,9.8,8.5,7.52,8.67,1,8.75
RA-581,2023,,-1,,5.0,7.9,9.8,8.0,7.52,7.393333333,1,6.458333333
RA-735,2023,,-1,,5.0,8.1,9.0,0.0,7.52,8.393333333,1,8.333333333
RA-710,2023,,-1,,5.0,6.5,9.0,9.5,3.77,7.113333333,1,7.083333333
RA-712,2023,,-2,,5.0,6.7,5.6,9.5,3.14,6.836666667,1,7.5
RA-549,2023,,-1,,5.0,6.4,8.1,9.5,5.02,7.5,1,6.875
RA-679,2023,,-1,,5.0,3.6,7.5,7.5,5.02,7.393333333,1,6.875
RA-571,2023,,-2,,5.0,5.0,7.9,9.0,3.77,7.616666667,1,7.291666667
RA-714,2023,,-2,,5.0,7.4,8.0,0.0,3.14,7.223333333,1,7.5
RA-737,2023,,0,,10.0,7.5,7.8,9.5,7.52,7.783333333,0,7.291666667
RA-577,2023,,-1,,5.0,7.4,8.2,10.0,3.77,7.673333333,1,6.875
RA-1053,2023,,0,,10.0,8.6,9.1,0.0,6.27,8.616666667,0,8.958333333
RA-731,2023,,-1,,5.0,6.8,7.6,8.5,3.14,7.45,1,7.5
RA-552,2023,,-2,,5.0,6.4,5.6,0.0,3.14,6.89,1,6.666666667
RA-1054,2023,,-2,,5.0,6.6,8.6,8.5,7.52,7.836666667,1,7.5
RA-1055,2023,,-1,,5.0,5.5,7.2,0.0,7.52,7.276666667,1,7.291666667
RA-597,2023,,-1,,5.0,8.5,9.6,10.0,7.52,8.56,1,9.0625
